"ProbeName","GeneSymbol","logFC","AveExpr","t","adj.P.Val"
"A_23_P37910","MAPK3",-9.3847451715562,9.33062052944056,-178.306709889223,3.01132866955763e-05
"A_33_P3243812","WASF1",-6.79882518995889,5.83162862102331,-101.158288461188,0.00018452847978116
"A_33_P3367332","C1orf93",-5.20490750394463,5.57225352239381,-85.1825362565207,0.000221677090021616
"A_23_P115215","VPS72",-4.58263722882858,5.95159948965743,-72.8087212632648,0.000221677090021616
"A_23_P13382","LSP1",-3.46658770969755,11.64043768944,-70.3303460038016,0.000221677090021616
"A_24_P372625","RNF141",-3.30160470887133,7.9899411169718,-68.7282902323231,0.000221677090021616
"A_23_P120125","COLEC11",-4.91722112522686,6.31152413752586,-67.8513667403643,0.000221677090021616
"A_24_P274270","STAT1",-3.16983885248908,8.08816894383436,-66.4311418829891,0.000221677090021616
"A_23_P131365","NDUFS1",-3.21472600329455,9.95911342799532,-64.4793117198903,0.000221677090021616
"A_23_P100654","ZBTB4",-3.19546937423692,7.92776117822109,-62.2457746355353,0.000221677090021616
"A_33_P3420035","ZNF445",-3.2409491083512,7.943713561118,-61.590206359226,0.000221677090021616
"A_24_P754817","EFTUD1",-3.13025965874352,8.07306227083417,-60.6381140307049,0.000221677090021616
"A_24_P590560","RRN3",-4.26785843429226,5.92915182823809,-59.8322161214958,0.000221677090021616
"A_23_P123866","UBAP1",-3.15502306600721,8.05654679282612,-58.8184380943484,0.000221677090021616
"A_23_P193","DEM1",-4.66325776710741,6.25001248342463,-57.9983442165569,0.000221677090021616
"A_33_P3361292","LOC150622",-2.690133596473,6.74903180303847,-55.5642968103891,0.000221677090021616
"A_23_P18684","CLGN",-4.73275327519759,6.36674658284942,-54.8005780235823,0.000221677090021616
"A_23_P142255","SHD",-4.2513023984612,7.11213704451059,-53.0421152332714,0.00023602475083735
"A_32_P190049","LRRC58",-3.18153091784979,8.05503710936805,-51.0101756219573,0.000238115769833207
"A_23_P104762","YAP1",-4.56968871795376,6.40551322262539,-49.3020520487116,0.000249015964289922
"A_24_P406301","NDUFB2",-3.7344164006118,6.4081037243364,-47.2219981664182,0.00028127987257255
"A_23_P113184","FTO",-2.26828897215777,9.17554207325721,-45.0085842762494,0.000307641121653316
"A_33_P3355014","TMEM229B",-3.24937856148987,7.94603077279898,-44.8395099217026,0.000307641121653316
"A_24_P403561","LRP4",-2.77869504686984,5.5514773929126,-44.7617908993698,0.000307641121653316
"A_23_P210300","ASXL2",-4.82455826710457,7.13022160491707,-44.3676234228704,0.00030895851787938
"A_33_P3319401","ARHGAP21",-4.79177058228808,6.36283592420766,-44.0551831522333,0.00030895851787938
"A_23_P127533","DCUN1D5",-2.27505497472732,7.14350788956762,-43.5033611865266,0.000314862373854783
"A_23_P47304","CASP5",-2.36200711655206,13.0566726259332,-43.062278040759,0.000314862373854783
"A_24_P290013","FLJ10661",-2.92740956206925,4.73274497872263,-42.1572075434616,0.000323319919586331
"A_33_P3352134","ATG16L1",-3.63900095513139,5.91678032363304,-42.1034437931022,0.000323319919586331
"A_23_P116414","PLA2G16",-2.0058088419859,5.87464977509486,-42.0782389170747,0.000323319919586331
"A_23_P111865","ZSCAN21",-5.50122674432356,7.79213502032562,-40.7375945906289,0.000353062339165403
"A_33_P3245517","LOC441666",-4.46349180305268,5.83008647224305,-40.5162019409415,0.000353062339165403
"A_23_P56213","GRAMD1A",-4.84573619906074,6.46469905061017,-40.2906901237463,0.000353062339165403
