Gene ID	Gene Name	pValue	CEU	FIN	GBR	TSI	YRI	Variance
ENSG00000061918	GUCY1B1	4e-09	4.04966906139913	2.60556919025874	4.44963161464056	3.66980707519853	4.27536266430626	0.538359975518626
ENSG00000251129	LINC02506	5e-07	2.08746284125034	0.7796099315747	0.673871916583352	0.336283387864432	0.402964666978269	0.507713293292279
ENSG00000169855	ROBO1	1e-08	2.85239402986402	1.36560413947434	1.99615793370561	1.03889347496216	1.51879557675541	0.495664759029312
ENSG00000002726	AOC1	2e-14	0.6915341649192	0.248820546614093	0.189033824390017	1.80992886572143	1.2298675418986	0.471965250831254
ENSG00000183508	TENT5C	7e-17	1.44349007476828	3.06767494319436	2.77677599881781	2.91575732640677	2.77100716752675	0.4290757479242
ENSG00000106689	LHX2	5e-23	2.14970246024541	0.628302041067841	0.775431664158446	0.796231543585893	1.0320612092323	0.380953042196601
ENSG00000145284	SCD5	4e-12	0.903644936104865	0.555389385337809	0.831704783473353	0.855902104640296	1.9951287684473	0.310577975205048
ENSG00000221955	SLC12A8	1e-08	4.06963418783705	3.64081573545467	2.96897310437938	2.87763871649803	3.81658820183564	0.277667633172931
ENSG00000133574	GIMAP4	4e-09	2.16269343221124	1.42675910648441	0.882762324715627	1.5157884151093	2.00606600069935	0.258260085487762
ENSG00000077782	FGFR1	4e-08	2.29147258848385	1.21281505034606	1.33719485154067	1.77099950683979	2.27413599643045	0.255898737903248
ENSG00000064655	EYA2	6e-19	1.77536910646755	0.732716121164849	0.447458976971221	1.07210580048042	0.790076930625769	0.255140438201104
ENSG00000048540	LMO3	8e-06	1.72883771328281	0.722466024471091	0.470629825242161	0.612483563485061	0.681366984674219	0.254289844190222
ENSG00000164749	HNF4G	3e-11	1.69507225763884	0.726690610332816	0.908117898992521	1.0540875155623	1.80969506051212	0.234957725339891
ENSG00000133026	MYH10	6e-07	3.41983519363865	2.35762608205082	2.39085498470027	2.22571277962806	2.77219408247719	0.234708049584699
ENSG00000137766	UNC13C	4e-06	1.42809365210429	0.381354373022555	0.259087221317131	0.461331151552779	0.528378972354789	0.218361661504553
ENSG00000147650	LRP12	1e-06	1.30277699454245	0.294183104404458	0.475310497937262	0.550424082016677	1.24673259350469	0.218126753089789
ENSG00000154451	GBP5	2e-18	1.12703290724909	1.84715297845783	2.21624019435485	2.20802715577854	2.15580743637509	0.215002030944807
ENSG00000163898	LIPH	3e-16	2.08391469296304	2.03191518007676	2.91097755313176	2.75913291951209	2.99451870640105	0.214275023882238
ENSG00000072110	ACTN1	2e-10	1.9918721191166	1.35436307141755	2.34144075129911	2.34134306001996	2.47029555854908	0.20533122090339
ENSG00000226278	PSPHP1	8e-13	4.54589570938677	4.6724253419715	4.58496250072116	4.77909254414225	5.63442358798767	0.203596208815312
ENSG00000251363	LINC02315	5e-06	1.36923380966572	0.42449782852791	0.513771452864203	0.865698908288409	0.232660756790275	0.200636535642301
ENSG00000173930	SLCO4C1	6e-07	1.12402729149347	0.647045009492013	1.19963058145751	1.01081833166379	1.87653074229192	0.200246227479912
ENSG00000137507	LRRC32	3e-06	1.54267077900472	1.42109925206605	0.875863699987894	0.63860046432323	0.579226131172012	0.198556477676797
ENSG00000074706	IPCEF1	9e-06	3.00080127468924	3.28033122931483	3.59896318003047	3.8147598923682	4.12715097775202	0.1947254854308
ENSG00000134247	PTGFRN	2e-26	1.21353244441622	0.19377174339668	0.192311082098587	0.269698136114805	0.279713146980424	0.193626384649908
ENSG00000143776	CDC42BPA	2e-09	1.89021185446189	1.39592867633114	2.29965620254249	2.51259392741622	2.20803478632007	0.188500284130631
ENSG00000154928	EPHB1	9e-13	2.71282552724915	2.1368130738488	2.19226133142041	2.86427935190025	3.13030157514971	0.186079928958902
ENSG00000134460	IL2RA	1e-10	1.79689891727231	3.01059141126772	2.47248777146274	2.40423511823947	2.38845271368788	0.185225618256966
ENSG00000093072	ADA2	8e-06	2.3779017331407	2.66615858356914	2.92114457928876	3.14383577257365	3.4914928278696	0.183753438538893
ENSG00000258602	LINC01629	8e-11	1.873787637015	1.34842589706444	1.53543091487128	1.8314865845305	2.47175740388734	0.182717130236494
ENSG00000170579	DLGAP1	3e-06	1.68565042914559	0.640090546469843	0.69637679560243	0.915607812709628	1.14212508149031	0.179471182571827
ENSG00000230943	LINC02541	5e-06	2.71500026266941	2.50695998871988	2.81173336256818	2.13891309400461	1.7989941418209	0.177350769555422
ENSG00000136111	TBC1D4	1e-14	3.95879169752055	3.0761630025944	3.24453084212192	2.84778143421628	3.35383075749157	0.173628563041115
