"ProbeName","GeneSymbol","logFC","AveExpr","t","adj.P.Val","category"
"A_23_P37910","MAPK3",-9.3847451715562,9.33062052944056,-178.306709889223,3.01132866955763e-05,"Downregulated"
"A_33_P3243812","WASF1",-6.79882518995889,5.83162862102331,-101.158288461188,0.00018452847978116,"Downregulated"
"A_33_P3367332","C1orf93",-5.20490750394463,5.57225352239381,-85.1825362565207,0.000221677090021616,"Downregulated"
"A_23_P115215","VPS72",-4.58263722882858,5.95159948965743,-72.8087212632648,0.000221677090021616,"Downregulated"
"A_23_P13382","LSP1",-3.46658770969755,11.64043768944,-70.3303460038016,0.000221677090021616,"Downregulated"
"A_24_P372625","RNF141",-3.30160470887133,7.9899411169718,-68.7282902323231,0.000221677090021616,"Downregulated"
"A_23_P120125","COLEC11",-4.91722112522686,6.31152413752586,-67.8513667403643,0.000221677090021616,"Downregulated"
"A_24_P274270","STAT1",-3.16983885248908,8.08816894383436,-66.4311418829891,0.000221677090021616,"Downregulated"
"A_23_P131365","NDUFS1",-3.21472600329455,9.95911342799532,-64.4793117198903,0.000221677090021616,"Downregulated"
"A_23_P63847","SUPV3L1",3.00648111872159,8.28245436397614,63.3139829776742,0.000221677090021616,"Upregulated"
"A_23_P100654","ZBTB4",-3.19546937423692,7.92776117822109,-62.2457746355353,0.000221677090021616,"Downregulated"
"A_33_P3420035","ZNF445",-3.2409491083512,7.943713561118,-61.590206359226,0.000221677090021616,"Downregulated"
"A_24_P754817","EFTUD1",-3.13025965874352,8.07306227083417,-60.6381140307049,0.000221677090021616,"Downregulated"
"A_24_P590560","RRN3",-4.26785843429226,5.92915182823809,-59.8322161214958,0.000221677090021616,"Downregulated"
"A_33_P3353263","CYB5RL",2.97530807063878,8.00122702987038,59.5013111313811,0.000221677090021616,"Upregulated"
"A_23_P123866","UBAP1",-3.15502306600721,8.05654679282612,-58.8184380943484,0.000221677090021616,"Downregulated"
"A_23_P193","DEM1",-4.66325776710741,6.25001248342463,-57.9983442165569,0.000221677090021616,"Downregulated"
"A_23_P122924","INHBA",2.73016168140613,8.2426007975642,55.9793529706483,0.000221677090021616,"Upregulated"
"A_23_P73702","MED12",2.67818929838354,8.37074674103692,55.577768924431,0.000221677090021616,"Upregulated"
"A_33_P3361292","LOC150622",-2.690133596473,6.74903180303847,-55.5642968103891,0.000221677090021616,"Downregulated"
"A_24_P822692","LOC643669",2.7464418523178,7.65436032199674,55.5184143870276,0.000221677090021616,"Upregulated"
"A_23_P162702","C12orf51",2.90216423884633,7.47639307139937,55.0208037848043,0.000221677090021616,"Upregulated"
"A_23_P18684","CLGN",-4.73275327519759,6.36674658284942,-54.8005780235823,0.000221677090021616,"Downregulated"
"A_24_P376787","ZNF496",2.61756292427196,8.32517699732396,54.7956180523247,0.000221677090021616,"Upregulated"
"A_23_P117727","MTFMT",2.63411366055923,8.29178626756362,53.894154383139,0.000229353217137572,"Upregulated"
"A_23_P142255","SHD",-4.2513023984612,7.11213704451059,-53.0421152332714,0.00023602475083735,"Downregulated"
"A_23_P150018","DUSP5",2.6152688725113,8.34673292981284,52.6543470116327,0.00023602475083735,"Upregulated"
"A_32_P776626","RGPD1",2.72739335727216,6.64309520873756,51.4704261130755,0.000238115769833207,"Upregulated"
"A_32_P190049","LRRC58",-3.18153091784979,8.05503710936805,-51.0101756219573,0.000238115769833207,"Downregulated"
"A_23_P215790","EGFR",2.7440424295073,8.3311501194974,50.9956735143578,0.000238115769833207,"Upregulated"
"A_23_P60240","PIGO",2.72813340945327,8.72867992508854,50.9840629181681,0.000238115769833207,"Upregulated"
"A_23_P121345","TBCCD1",2.59827771182793,8.32212908803571,50.5706766568429,0.000239351815514275,"Upregulated"
"A_23_P419239","ETNK1",2.96538457632192,7.08607716429053,49.5393235965052,0.000249015964289922,"Upregulated"
"A_23_P104762","YAP1",-4.56968871795376,6.40551322262539,-49.3020520487116,0.000249015964289922,"Downregulated"
"A_23_P323783","LSM14B",2.86955489361824,7.25641950828553,49.1413761446173,0.000249015964289922,"Upregulated"
"A_23_P138507","CDK1",2.39219816068425,6.79849988597035,47.3117158407889,0.00028127987257255,"Upregulated"
"A_24_P406301","NDUFB2",-3.7344164006118,6.4081037243364,-47.2219981664182,0.00028127987257255,"Downregulated"
"A_33_P3362781","KLHL36",2.48453301095421,8.81747862958611,46.8330823550526,0.000284258457308912,"Upregulated"
"A_24_P100368","DYNLT3",2.38691798328545,9.41505070404994,45.5684956851513,0.000307641121653316,"Upregulated"
"A_24_P343233","HLA-DRB1",2.63990481729417,8.34520967154429,45.2401645628862,0.000307641121653316,"Upregulated"
"A_23_P113184","FTO",-2.26828897215777,9.17554207325721,-45.0085842762494,0.000307641121653316,"Downregulated"
"A_33_P3355014","TMEM229B",-3.24937856148987,7.94603077279898,-44.8395099217026,0.000307641121653316,"Downregulated"
"A_24_P403561","LRP4",-2.77869504686984,5.5514773929126,-44.7617908993698,0.000307641121653316,"Downregulated"
"A_23_P210300","ASXL2",-4.82455826710457,7.13022160491707,-44.3676234228704,0.00030895851787938,"Downregulated"
"A_23_P120883","HMOX1",2.17403388403907,8.04936159780951,44.0841192935033,0.00030895851787938,"Upregulated"
"A_33_P3319401","ARHGAP21",-4.79177058228808,6.36283592420766,-44.0551831522333,0.00030895851787938,"Downregulated"
"A_23_P127533","DCUN1D5",-2.27505497472732,7.14350788956762,-43.5033611865266,0.000314862373854783,"Downregulated"
"A_24_P20200","PLEKHB2",2.46986433976865,5.15567838172188,43.2963792953412,0.000314862373854783,"Upregulated"
"A_23_P98167","UNC93B1",2.33755564325502,9.01053443682235,43.1314380621332,0.000314862373854783,"Upregulated"
"A_23_P47304","CASP5",-2.36200711655206,13.0566726259332,-43.062278040759,0.000314862373854783,"Downregulated"
"A_23_P151280","C12orf62",3.01227335757227,7.76654416949259,42.2416407828,0.000323319919586331,"Upregulated"
"A_24_P290013","FLJ10661",-2.92740956206925,4.73274497872263,-42.1572075434616,0.000323319919586331,"Downregulated"
"A_33_P3352134","ATG16L1",-3.63900095513139,5.91678032363304,-42.1034437931022,0.000323319919586331,"Downregulated"
"A_23_P116414","PLA2G16",-2.0058088419859,5.87464977509486,-42.0782389170747,0.000323319919586331,"Downregulated"
"A_23_P22765","NDUFB11",2.66411881837569,7.42929741379863,41.6740229802974,0.000331364348125395,"Upregulated"
