IID	PRS_raw.V1	PRS_std_within	PRS_std_EUR.V1
HG00096	-0.13567864825889	0.332851960553421	0.332851960553421
HG00097	-1.17687575774725	-1.24302488707598	-1.24302488707598
HG00099	-0.86718774710609	-0.774304640438314	-0.774304640438313
HG00100	-1.46057079396902	-1.67240414225751	-1.67240414225751
HG00101	0.368844555795763	1.09645995477099	1.09645995477099
HG00102	-1.60073924382766	-1.88455245969654	-1.88455245969654
HG00103	-1.26060207793484	-1.36974668482056	-1.36974668482056
HG00105	-0.0256858275597775	0.499328738068065	0.499328738068065
HG00106	-0.916107832683543	-0.848346365624662	-0.848346365624661
HG00107	-1.46396639843101	-1.6775434712151	-1.6775434712151
HG00108	0.394820060544262	1.1357745054604	1.1357745054604
HG00109	-0.672538243216416	-0.479697938415275	-0.479697938415274
HG00110	-0.704809810830835	-0.528541731561473	-0.528541731561473
HG00111	-1.04370637262969	-1.04146982232659	-1.04146982232659
HG00112	-0.92514932321773	-0.862030878836466	-0.862030878836466
HG00113	0.263979684174335	0.937744451422112	0.937744451422112
HG00114	-0.72721781159798	-0.562456779239581	-0.562456779239581
HG00115	-0.141526258579446	0.324001461801412	0.324001461801412
HG00116	-0.531099518745685	-0.265627029823157	-0.265627029823157
HG00117	0.969106739450897	2.00497119544704	2.00497119544704
HG00118	0.254398618747887	0.923243278643615	0.923243278643615
HG00119	-0.436671302770029	-0.122707655611574	-0.122707655611573
HG00120	-0.109918023879883	0.371841284639524	0.371841284639525
HG00121	0.134961346437215	0.742472096642461	0.742472096642461
HG00122	0.2404908815177	0.902193584110046	0.902193584110046
HG00123	-1.0404045193901	-1.03647238809715	-1.03647238809715
HG00125	-0.64870694540062	-0.443628696448852	-0.443628696448852
HG00126	-0.919574158176568	-0.853592732562321	-0.85359273256232
HG00127	0.247012419135733	0.912064088022847	0.912064088022847
HG00128	-0.339862943147624	0.0238141232098216	0.0238141232098218
HG00129	-0.598426812292481	-0.367528506639666	-0.367528506639666
HG00130	0.0107622131510092	0.554493723616101	0.554493723616102
HG00131	-0.151595554933553	0.308761339780564	0.308761339780565
HG00132	-0.0960480834020133	0.392833772880116	0.392833772880116
HG00133	-0.198735801580145	0.237413443589796	0.237413443589796
HG00136	-0.218605045121426	0.207340865985347	0.207340865985348
HG00137	0.379536092504868	1.11264185252302	1.11264185252302
HG00138	-0.461176656071898	-0.159797096755308	-0.159797096755308
HG00139	-0.86477865535574	-0.77065842217801	-0.77065842217801
HG00140	-0.44641095414553	-0.137448852035157	-0.137448852035157
HG00141	-1.00134114864199	-0.9773490376851	-0.9773490376851
HG00142	0.0789570063900048	0.657708182064815	0.657708182064815
HG00143	-1.25462039764835	-1.36069326795309	-1.36069326795309
HG00145	-1.09312733280511	-1.11626963325416	-1.11626963325416
HG00146	0.408543658025645	1.15654550005884	1.15654550005884
HG00148	-0.642042273622355	-0.43354155554469	-0.433541555544689
HG00149	-0.478701326976618	-0.186321107328718	-0.186321107328718
HG00150	-0.260774710649573	0.143516063772116	0.143516063772117
HG00151	-0.447728544497111	-0.139443056697073	-0.139443056697073
HG00154	-0.60344802118899	-0.375128226976009	-0.375128226976009
HG00155	-0.526614956899754	-0.258839537694757	-0.258839537694757
HG00157	-0.139740695425035	0.3267039545469	0.3267039545469
HG00158	0.461605336349633	1.2368556253993	1.2368556253993
HG00159	-0.373725500628264	-0.0274376713341377	-0.0274376713341375
HG00160	-1.338078858277	-1.48700965381793	-1.48700965381793
HG00171	1.36249291414969	2.60037062484995	2.60037062484995
HG00173	0.0779375754391416	0.656165248821357	0.656165248821357
HG00174	-0.801269954741109	-0.674536477534115	-0.674536477534114
HG00176	-0.0197256458166511	0.508349616373491	0.508349616373492
HG00177	0.121097514554496	0.721488853907433	0.721488853907433
HG00178	0.262526587606145	0.935545154844824	0.935545154844824
HG00179	-1.50259798354962	-1.73601330370009	-1.73601330370009
HG00180	-0.608457144541346	-0.38270965555083	-0.38270965555083
HG00181	-0.342032493951992	0.0205304559279942	0.0205304559279944
HG00182	-0.287422715397076	0.103183668172455	0.103183668172455
HG00183	-1.31651289588278	-1.45436905145342	-1.45436905145342
HG00185	-0.664254383178969	-0.467160117167931	-0.467160117167931
HG00186	-0.134890124183113	0.3340454106922	0.3340454106922
HG00187	-0.620294558017304	-0.400625865327619	-0.400625865327619
HG00188	-0.673284513317333	-0.48082743614764	-0.480827436147639
HG00189	-0.220060365669052	0.205138203361736	0.205138203361736
HG00190	0.723573048399076	1.63335005328723	1.63335005328724
HG00231	-1.15253942916664	-1.20619126890994	-1.20619126890994
HG00232	-0.181110775536098	0.264089344078347	0.264089344078347
HG00233	-1.31190952481257	-1.4474017387088	-1.4474017387088
HG00234	0.461690511274968	1.23698453969574	1.23698453969574
HG00235	-0.287648975851042	0.102841217537806	0.102841217537806
HG00236	-0.351955030481001	0.00551245842941627	0.00551245842941652
HG00237	0.915058441004496	1.92316779684051	1.92316779684051
HG00238	-0.700605425813528	-0.522178293796504	-0.522178293796504
HG00239	0.588365624818224	1.42871036834479	1.42871036834479
HG00240	-0.985013107098607	-0.952636154407891	-0.95263615440789
HG00242	-0.704264384261636	-0.527716215341105	-0.527716215341105
HG00243	-1.62489465677318	-1.92111225770105	-1.92111225770105
HG00244	-1.58824325294682	-1.86563947719029	-1.86563947719029
HG00245	-1.05066329650766	-1.05199929380716	-1.05199929380716
HG00246	-0.686265084103866	-0.500473841986746	-0.500473841986746
HG00250	0.691796116068398	1.58525490253023	1.58525490253023
HG00251	-0.576465929972273	-0.334290183476307	-0.334290183476307
HG00252	-0.0820553476326227	0.414012114745485	0.414012114745485
HG00253	0.0689202492404125	0.642517308911994	0.642517308911995
HG00254	-0.380541718474261	-0.0377541808538224	-0.0377541808538221
HG00255	0.0439155022655477	0.604672023442575	0.604672023442576
HG00256	-0.459119467982644	-0.156683493143148	-0.156683493143147
HG00257	-1.05018622672961	-1.05127723723297	-1.05127723723297
HG00258	-0.204092158327548	0.229306468926732	0.229306468926733
