FID	IID	PRS_raw	PRS_std_within	PRS_std_EUR
0	HG01583	0.000744826	0.781698456499834	8.53781335804003
0	HG01586	0.000428889	-0.225998796285117	4.68326895482235
0	HG01589	0.000545494	0.145918827041651	6.10589166168225
0	HG01593	0.000884772	1.22806339551693	10.2452046134255
0	HG02490	0.000822088	1.02812956505841	9.48043739283623
0	HG02491	0.00120411	2.24660831209789	14.1412424331007
0	HG02493	0.000641007	0.450562435435885	7.27118442443094
0	HG02494	0.000858117	1.1430459069892	9.92000407956026
0	HG02597	0.000829405	1.0514675115434	9.56970740995465
0	HG02600	0.000321445	-0.568696940624737	3.3724137246362
0	HG02601	0.000684583	0.589550320638812	7.80282721053897
0	HG02603	0.000915727	1.32679595441303	10.6228666852993
0	HG02604	0.00103156	1.69625124417599	12.036070716033
0	HG02648	0.000322604	-0.565000250727771	3.38655393918318
0	HG02649	0.000952902	1.44536752207456	11.0764149819205
0	HG02651	0.000505953	0.0198007811262636	5.62347731879861
0	HG02652	0.000494627	-0.0163240763138031	5.48529606775538
0	HG02654	0.000330352	-0.540287607654696	3.48108231046014
0	HG02655	0.000609731	0.350806030589026	6.88960603774297
0	HG02657	0.000145053	-1.13130826444323	1.22036823337568
0	HG02658	0.000722542	0.710622496479134	8.26594058757851
0	HG02660	0.000441904	-0.1844867867864	4.84205660998106
0	HG02661	0.000564003	0.204954231099412	6.33170808191526
0	HG02681	0.000171914	-1.04563372835832	1.54808204092222
0	HG02682	0.000134157	-1.16606161484646	1.08743313613332
0	HG02684	0.000534442	0.110667906643663	5.97105330864237
0	HG02685	0.000893246	1.25509165279638	10.3485904443755
0	HG02687	0.000214432	-0.910020388376269	2.06681684860859
0	HG02688	0.000617032	0.374092944254038	6.97868084913857
0	HG02694	0.00126646	2.44547683243942	14.901934734226
0	HG02696	0.000432874	-0.213288434560001	4.73188738016291
0	HG02697	0.000340903	-0.506634652432187	3.60980828430414
0	HG02699	0.00063652	0.436250918984041	7.2164414195368
0	HG02700	0.000560804	0.194750856655586	6.29267913770837
0	HG02724	0.000585144	0.272384534043121	6.58963584355263
0	HG02725	0.000769828	0.86144361681385	8.84284670066609
0	HG02727	0.000649339	0.47713777643806	7.37283780459094
0	HG02728	0.000593464	0.298921600430315	6.69114281942051
0	HG02731	0.00075865	0.825790812958556	8.70647110255898
0	HG02733	0.000590637	0.289904739050916	6.65665240826925
0	HG02734	0.000599221	0.317283846967703	6.76138027856371
0	HG02736	0.000333802	-0.529283655847507	3.52317354444382
0	HG02737	0.000380733	-0.379594826205994	4.09574853055627
0	HG02774	0.000518923	0.0611692608188	5.78171595786188
0	HG02775	0.000434702	-0.207457934877815	4.75418963399542
